公司,簡稱,年/月,季別,月份,資產總額,負債總額,ROE－綜合損益,流動負債,股東權益總額,營收成長率,交易所主產業代碼
1101   ,台泥         ,201003,1,03,   105704756,    25214357,           -,     7289895,    80490399,        5.32,M1100       
1102   ,亞泥         ,201003,1,03,   109454061,    35083759,           -,    10679782,    74370302,       -4.41,M1100       
1103   ,嘉泥         ,201003,1,03,    23707331,     7845702,           -,     1836206,    15861629,      -23.38,M1100       
1104   ,環泥         ,201003,1,03,    16340397,     4171184,           -,      871229,    12169213,       -1.30,M1100       
1107   ,建台         ,201003,1,03,     6307202,     7473445,           -,     6763527,    -1166243,       21.72,M9900       
1108   ,幸福         ,201003,1,03,     7928896,     3609864,           -,     2061350,     4319032,       10.63,M1100       
1109   ,信大         ,201003,1,03,     6626502,      537505,           -,      195547,     6088997,      -12.04,M1100       
1110   ,東泥         ,201003,1,03,     9534987,     1238090,           -,      465942,     8296897,      -18.47,M1100       
1101   ,台泥         ,201006,2,06,   102512720,    27072262,           -,    10832217,    75440458,        4.54,M1100       
1102   ,亞泥         ,201006,2,06,   112138605,    41855217,           -,    16115701,    70283388,       -9.24,M1100       
1103   ,嘉泥         ,201006,2,06,    22413516,     8464493,           -,     1962103,    13949023,      -19.04,M1100       
1104   ,環泥         ,201006,2,06,    16942342,     4502128,           -,     1255370,    12440214,       -4.33,M1100       
1107   ,建台         ,201006,2,06,     6276106,     7531506,           -,     6817055,    -1255400,       10.31,M9900       
1108   ,幸福         ,201006,2,06,     7965249,     3772257,           -,     2241290,     4192992,       -2.21,M1100       
1109   ,信大         ,201006,2,06,     6626889,      658080,           -,      307100,     5968809,      -20.14,M1100       
1110   ,東泥         ,201006,2,06,     9519289,     1329001,           -,      573314,     8190288,      -13.87,M1100       
1101   ,台泥         ,201009,3,09,   104312482,    22721924,           -,     4970265,    81590558,        3.97,M1100       
1102   ,亞泥         ,201009,3,09,   105501137,    29935596,           -,     3792874,    75565541,       -8.84,M1100       
1103   ,嘉泥         ,201009,3,09,    24368215,     8567792,           -,     1422166,    15800423,      -16.73,M1100       
1104   ,環泥         ,201009,3,09,    17029184,     4247729,           -,     1065646,    12781455,       -5.98,M1100       
1107   ,建台         ,201009,3,09,     6253548,     7599306,           -,     6887806,    -1345758,       -2.52,M9900       
1108   ,幸福         ,201009,3,09,     7859471,     3721138,           -,     2144157,     4138333,       -3.34,M1100       
1109   ,信大         ,201009,3,09,     6467998,      512218,           -,      154811,     5955780,      -16.98,M1100       
1110   ,東泥         ,201009,3,09,     9485878,     1262417,           -,      521084,     8223461,      -16.13,M1100       
1101   ,台泥         ,201012,4,12,   116546188,    21625117,           -,    14224503,    94921071,        5.71,M1100       
1102   ,亞泥         ,201012,4,12,   110088906,    31447887,           -,     4980039,    78641019,       -5.53,M1100       
1103   ,嘉泥         ,201012,4,12,    24343864,     8470212,           -,     1450537,    15873652,      -11.54,M1100       
1104   ,環泥         ,201012,4,12,    16757606,     4162487,           -,     1275056,    12595119,       -3.81,M1100       
1107   ,建台         ,201012,4,12,     6104523,     7546721,           -,     6835189,    -1442198,      131.51,M9900       
1108   ,幸福         ,201012,4,12,     7797018,     3690868,           -,     2139047,     4106150,       -2.26,M1100       
1109   ,信大         ,201012,4,12,     6432306,      551270,           -,      188248,     5881036,      -11.50,M1100       
1110   ,東泥         ,201012,4,12,     9464418,     1250357,           -,      556639,     8214061,      -11.63,M1100       
1101   ,台泥         ,201103,1,03,   109759901,     9861171,           -,     4491267,    99898730,        5.75,M1100       
1102   ,亞泥         ,201103,1,03,   113949990,    32043928,           -,     4840422,    81906062,        0.03,M1100       
1103   ,嘉泥         ,201103,1,03,    26842527,     8475196,           -,     2519365,    18367331,       -7.35,M1100       
1104   ,環泥         ,201103,1,03,    16825038,     3918438,           -,     1500790,    12906600,       15.07,M1100       
1107   ,建台         ,201103,1,03,     6063099,     7604064,           -,     6882105,    -1540965,      -23.85,M9900       
1108   ,幸福         ,201103,1,03,     7771071,     3746244,           -,     2313898,     4024827,       11.29,M1100       
1109   ,信大         ,201103,1,03,     6399319,      535717,           -,      173498,     5863602,        2.70,M1100       
1110   ,東泥         ,201103,1,03,     9351922,     1068745,           -,      384391,     8283177,        3.18,M1100       
1101   ,台泥         ,201106,2,06,   113331455,    16282041,           -,    10959628,    97049414,       10.43,M1100       
1102   ,亞泥         ,201106,2,06,   122618081,    42002067,           -,    10849820,    80616014,        6.85,M1100       
1103   ,嘉泥         ,201106,2,06,    28016688,     8519617,           -,     2542115,    19497071,      -36.37,M1100       
1104   ,環泥         ,201106,2,06,    16641606,     4196915,           -,     1662669,    12444691,        8.09,M1100       
1107   ,建台         ,201106,2,06,     5975877,     7650346,           -,     6926932,    -1674469,      -27.01,M9900       
1108   ,幸福         ,201106,2,06,     7744015,     3763222,           -,     2374934,     3980793,       17.62,M1100       
1109   ,信大         ,201106,2,06,     6435329,      669586,           -,      307676,     5765743,       26.39,M1100       
1110   ,東泥         ,201106,2,06,     9515490,     1194703,           -,      520052,     8320787,        3.87,M1100       
1101   ,台泥         ,201109,3,09,   105060177,    11281621,           -,     5984229,    93778556,        9.58,M1100       
