公司	簡稱	年/月	  現金及約當現金	  透過損益按公允價值衡量之金融資產－流動	  合約資產－流動	  應收帳款及票據	  其他應收款	  資金貸予他人－流動	  存貨	  待出售非流動資產	  當期所得稅資產－流動	流動資產	  按攤銷後成本衡量之金融資產－非流動	  採權益法之長期股權投資	  預付投資款	  不動產廠房及設備	  商譽及無形資產合計	    遞延所得稅資產	    投資性不動產淨額	  其他非流動資產	非流動資產	資產總額	  短期借款	  透過損益按公允價值衡量之金融負債－流動	  合約負債－流動	  應付帳款及票據	  其他應付款	  當期所得稅負債	  與待出售非流動資產直接相關之負債	  一年內到期長期負債	流動負債	  透過損益按公允價值衡量之金融負債－非流動	  應付公司債－非流動	  銀行借款－非流動	  負債準備－非流動	  應計退休金負債	  遞延所得稅	非流動負債	負債總額	  股本	  資本公積合計	    法定盈餘公積	    特別盈餘公積	    未分配盈餘	  保留盈餘	  其他權益	  庫藏股票帳面值	母公司股東權益合計	共同控制下前手權益	合併前非屬共同控制股權	非控制權益	股東權益總額	負債及股東權益總額
1101   	台泥         	201003	    17568054	     2986592	           0	    11268842	       81841	       15008	     6679971	           0	           0	    68129797	           0	     5618259	           0	   128527240	     3396856	           0	       50517	     4776595	   150221548	   218351345	    11434982	           0	           0	     7581468	     2392484	      874380	           0	    17853564	    46716890	           0	     4865000	    57057462	           0	      568274	     6674083	    69476951	   116193841	    32921759	     9127384	     7545055	           0	    10493838	    18038893	    20402363	           0	    80490399	           0	           0	    21667105	   102157504	   218351345
1102   	亞泥         	201003	    17683099	     1341622	           0	     8000534	     1066279	           0	     4504296	           0	           0	    37953958	           0	    41675574	           0	    65581287	     3268490	           0	           0	     2339501	   127993027	   165946985	     5356232	      163640	      412919	     6632437	      231995	      278460	           0	    13128529	    27779212	           0	    12000000	    35413789	           0	           0	     1466299	    50745295	    78524507	    29857355	     8241439	     9391500	           0	    14505163	    23896663	    12374845	           0	    74370302	           0	           0	    13052176	    87422478	   165946985
1103   	嘉泥         	201003	     3939241	     2114692	           0	      447724	       74639	           0	      907975	           0	           0	    10367318	           0	      675899	           0	    11021248	      549485	           0	           0	      593288	    18250012	    28617330	      372871	           0	       37970	      170212	      476851	       42917	           0	      946500	     2435718	           0	           0	     6263728	           0	       84545	     1632879	     8161615	    10597333	     7178779	      388504	     1737262	      713845	     4310638	     6761745	     2369537	     -836936	    15861629	           0	           0	     2158368	    18019997	    28617330
1101   	台泥         	201006	    16624092	     2019915	           0	    13587643	      145938	       10740	     7867475	           0	           0	    58415108	           0	     6800735	           0	   140355447	    13818480	           0	       50517	     5079739	   172738469	   231153577	     8996391	       28923	           0	     9443148	     8811782	           0	           0	    20628262	    57452958	           0	     4865000	    58255684	           0	      515419	     7264154	    71351394	   128804352	    32921759	     9186361	     8287508	           0	     5737653	    14025161	    19307177	           0	    75440458	           0	           0	    26908767	   102349225	   231153577
1102   	亞泥         	201006	    15955407	     1834406	           0	     8504118	     5265367	           0	     5031881	           0	           0	    42445233	           0	    39620269	           0	    66877312	     3879176	           0	           0	     2415059	   127093020	   169538253	     6193566	       38341	      430829	     7346810	     5609456	      229394	           0	    12956591	    34768987	           0	    12000000	    36505139	           0	           0	     1471777	    51506677	    86275664	    30753075	     8253707	    10177610	           0	     9591344	    19768954	    11507652	           0	    70283388	           0	           0	    12979201	    83262589	   169538253
1103   	嘉泥         	201006	     3091105	     2235672	           0	      450301	      106328	           0	      881229	           0	           0	     9687795	           0	      673610	           0	    10984315	      551057	           0	           0	      584012	    17713665	    27401460	      346722	           0	      177482	      318825	      477312	       31184	           0	      796422	     2839413	         879	           0	     6678924	           0	       94570	     1564920	     8528295	    11367708	     7322354	      413547	     1778624	      335222	     4287286	     6401132	      648926	     -836936	    13949023	           0	           0	     2084729	    16033752	    27401460
1101   	台泥         	201009	    12836138	     2547369	           0	    14332045	       32176	        6689	     7957196	           0	           0	    59846089	           0	     6836792	           0	   139393786	    13559314	           0	       50517	     5406075	   171787968	   231634057	     7685856	        4947	           0	     8279490	     2913321	      799654	           0	    20017124	    47121934	           0	     3500000	    63268126	           0	      512969	     7235486	    74925818	   122047752	    32921759	     9122747	     8287508	           0	     8296469	    16583977	    22962075	           0	    81590558	           0	           0	    27995747	   109586305	   231634057
1102   	亞泥         	201009	     5830557	     1270308	           0	    10049066	     1527374	           0	     5440743	           0	           0	    29744987	           0	    42209516	           0	    69079374	     4654550	           0	           0	     2534731	   135761502	   165506489	     7365308	      247457	      626634	     8092071	      225869	      190827	           0	     3613644	    21836810	           0	    14176323	    37780597	           0	           0	     1466299	    55087550	    76924360	    30753075	     8256390	    10177610	           0	    11099908	    21277518	    15278558	           0	    75565541	           0	           0	    13016588	    88582129	   165506489
1103   	嘉泥         	201009	     3322463	     3009199	           0	      461021	       75594	           0	      928626	           0	           0	    11162181	           0	      672626	           0	    11543666	      537224	          92	           0	      584771	    19296475	    30458656	      935241	           0	      250086	      301052	      321852	       39924	           0	      404444	     2834443	        1716	           0	     7808317	           0	      101807	     1534407	     9633080	    12467523	     7322354	      455445	     1778624	      335222	     4634048	     6747894	     2099660	     -824930	    15800423	           0	           0	     2190710	    17991133	    30458656
1101   	台泥         	201012	    32706814	     4636964	           0	    15918356	       30153	        3072	     7296613	           0	           0	    82001294	           0	     6917338	           0	   139708763	    12575826	           0	       50517	    14282454	   179959494	   261960788	    13170917	           0	           0	     9650878	     3316673	     1180755	           0	    26452465	    60121542	           0	     3500000	    65928232	           0	      489258	     6966784	    77325468	   137447010	    36921759	    15956106	     8287508	           0	    10931835	    19219343	    22823863	           0	    94921071	           0	           0	    29592707	   124513778	   261960788
