title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
Kill the Scream Queen,2004,74,5000,1.3,5,44.5,44.5,0,0,0,0,0,0,24.5,0,,0,0,0,0,0,0,0
Como Ser Solteiro,1998,95,NA,7.2,95,24.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,24.5,,0,0,1,0,0,0,0
Kampf um Rom II - Der Verrat,1969,84,NA,6.4,21,4.5,0,0,0,34.5,4.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
28 minuti per 3 milioni di dollari,1967,90,NA,3.9,6,0,14.5,0,0,14.5,14.5,14.5,0,0,34.5,,0,0,0,0,0,0,0
Kochankowie mojej mamy,1986,81,NA,6.8,15,0,4.5,0,0,14.5,4.5,24.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
Un crime au paradis,2001,89,NA,6.4,334,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
"Wild McCullochs, The",1975,93,NA,4.4,29,24.5,4.5,14.5,0,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Eskimo Nell,1975,85,NA,4.7,19,4.5,24.5,0,14.5,14.5,14.5,24.5,14.5,0,4.5,,0,0,1,0,0,0,0
Voditel dlya Very,2004,105,3300000,7.7,182,4.5,0,4.5,0,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
Full Blast,1997,91,NA,5.9,19,14.5,4.5,0,4.5,14.5,14.5,14.5,0,0,34.5,,1,0,0,0,0,0,0
"Goldbergs, The",1950,83,NA,3.4,12,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,0,14.5,,0,0,1,0,0,0,0
Beyond the Purple Hills,1950,69,NA,6.1,12,0,0,0,0,34.5,45.5,4.5,4.5,0,0,,0,0,0,0,0,0,0
Las que tienen que servir,1967,83,NA,3.9,20,4.5,14.5,24.5,14.5,14.5,14.5,4.5,0,4.5,24.5,,0,0,1,0,0,0,0
Chaindance,1990,109,NA,6.1,81,4.5,0,4.5,0,4.5,14.5,14.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
Ni neibian jidian,2001,116,NA,7.2,668,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
Frankenhooker,1990,85,2500000,5,520,4.5,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
"Ni vu, ni connu",1958,95,NA,7.2,62,0,0,0,4.5,4.5,4.5,14.5,14.5,34.5,24.5,,0,0,1,0,0,0,0
Kruimeltje,1999,119,5000000,6.7,224,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Kino-pravda,1925,30,NA,6.3,14,0,0,0,4.5,14.5,24.5,34.5,4.5,0,14.5,,0,0,0,0,0,0,1
Swashbuckler,1976,101,NA,5.5,277,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
"Wilby Conspiracy, The",1975,102,NA,6.4,182,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
Red Betsy,2003,98,NA,7.1,44,4.5,14.5,4.5,0,4.5,4.5,14.5,14.5,14.5,24.5,PG,0,0,0,1,0,1,0
Einstein's Playground,2003,17,NA,5,17,0,4.5,0,14.5,4.5,14.5,0,4.5,14.5,34.5,,0,0,0,0,0,0,1
Innsmouth Legacy,2004,10,1000,6.4,8,24.5,0,14.5,0,0,0,0,24.5,0,34.5,,0,0,0,1,0,0,1
"Flesh Eaters, The",1964,87,NA,5.1,70,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
South of Reno,1988,97,NA,3.6,32,14.5,14.5,4.5,14.5,14.5,0,14.5,4.5,0,24.5,,0,0,0,1,0,0,0
Rawhide,1951,87,NA,6.7,144,0,0,4.5,4.5,4.5,24.5,24.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
Romeo and Juliet,1966,124,NA,6.3,49,4.5,0,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
Crossroads,1986,96,NA,6.3,1489,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Life Is Cheap... But Toilet Paper Is Expensive,1989,89,NA,5.1,31,4.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
Cool Runnings,1993,98,NA,6.3,7593,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
"Destino no tiene favoritos, El",2003,90,NA,8,22,0,0,0,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,1,0,0,1,0
Comedy's Dirtiest Dozen,1988,97,NA,4.6,39,14.5,4.5,4.5,4.5,14.5,4.5,14.5,4.5,4.5,24.5,,0,0,1,0,0,0,0
Amplifier,1999,10,NA,5.3,29,14.5,0,0,14.5,4.5,4.5,24.5,14.5,14.5,24.5,,0,0,0,0,0,0,1
Night Time in Nevada,1948,67,NA,5.7,6,0,0,0,0,14.5,34.5,14.5,0,14.5,14.5,,0,0,0,0,0,0,0
Evil Alien Conquerors,2002,89,500000,3.8,111,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,PG-13,0,0,1,0,0,0,0
She Couldn't Take It,1935,77,NA,7.9,6,0,0,0,0,14.5,0,14.5,34.5,34.5,0,,0,0,1,0,0,0,0
"Island of Dr. Moreau, The",1996,99,40000000,4,5983,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,0,0,0,0,0,0,0
"Line King: The Al Hirschfeld Story, The",1996,86,NA,7.2,60,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,4.5,24.5,,0,0,0,0,1,0,0
Jesse James Rides Again,1947,180,NA,6.9,12,0,4.5,0,4.5,4.5,4.5,24.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
Victor/Victoria,1982,132,NA,7.3,3487,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,1,0,0,1,0
"War Lover, The",1962,105,NA,6.3,150,4.5,0,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Notre Dame de la Croisette,1981,53,NA,5.5,11,4.5,4.5,4.5,14.5,0,0,24.5,4.5,0,14.5,,0,0,0,1,1,0,0
I Love You Again,1940,99,NA,7.4,276,0,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,14.5,,0,0,1,1,0,0,0
Maciste all'inferno,1962,88,NA,4.1,47,4.5,14.5,4.5,14.5,14.5,24.5,4.5,4.5,0,14.5,,0,0,0,0,0,0,0
"Periwig-Maker, The",1999,15,NA,6.9,116,4.5,4.5,0,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,1,0,1,0,0,1
They Went That-A-Way & That-A-Way,1979,95,NA,3.9,50,4.5,4.5,24.5,14.5,4.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
Jerry and Jumbo,1953,7,NA,7.3,33,4.5,4.5,0,0,4.5,4.5,34.5,24.5,4.5,4.5,,0,1,1,0,0,0,1
"Bug Parade, The",1941,6,NA,5.9,11,0,0,0,0,34.5,4.5,34.5,4.5,0,4.5,,0,1,1,0,0,0,1
Aller simple pour Manhattan,2002,78,NA,7.4,29,14.5,4.5,0,4.5,0,4.5,24.5,34.5,0,24.5,,0,0,1,1,0,1,0
Seraglio,2000,14,NA,6.8,34,14.5,4.5,0,0,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,1,0,0,1,1
Escape in the Fog,1945,65,NA,6.3,17,0,0,4.5,14.5,14.5,24.5,14.5,14.5,0,0,,0,0,0,1,0,0,0
Yellowstone,1994,32,NA,6.4,24,14.5,0,4.5,4.5,24.5,4.5,24.5,4.5,4.5,4.5,,0,0,0,0,1,0,1
Stop the World: I Want to Get Off,1966,100,NA,5.3,32,4.5,4.5,4.5,4.5,4.5,4.5,24.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
Lazy Sunday Afternoon,1999,10,NA,5.5,13,0,0,0,4.5,34.5,0,34.5,14.5,0,4.5,,0,1,0,0,0,0,1
