公司	簡稱	年/月	季別	合併(Y/N)	月份	幣別	  現金及約當現金	  透過損益按公允價值衡量之金融資產－流動	  合約資產－流動	  應收帳款及票據	  其他應收款	  資金貸予他人－流動	  存貨	  待出售非流動資產	  當期所得稅資產－流動	流動資產	  按攤銷後成本衡量之金融資產－非流動	  採權益法之長期股權投資	  預付投資款	  不動產廠房及設備	  商譽及無形資產合計	    遞延所得稅資產	    投資性不動產淨額	  其他非流動資產	非流動資產	資產總額	  短期借款	  透過損益按公允價值衡量之金融負債－流動	  合約負債－流動	  應付帳款及票據	  其他應付款	  當期所得稅負債	  與待出售非流動資產直接相關之負債	  一年內到期長期負債	流動負債	  透過損益按公允價值衡量之金融負債－非流動	  應付公司債－非流動	  銀行借款－非流動	  負債準備－非流動	  應計退休金負債	  遞延所得稅	非流動負債	負債總額	  股本	  資本公積合計	    法定盈餘公積	    特別盈餘公積	    未分配盈餘	  保留盈餘	  其他權益	  庫藏股票帳面值	母公司股東權益合計	共同控制下前手權益	合併前非屬共同控制股權	非控制權益	股東權益總額	負債及股東權益總額	營業收入淨額	營業成本	營業毛利	營業費用	  研究發展費	  預期信用減損（損失）利益－營業費用	營業利益	其他收入	其他利益及損失	財務成本	採權益法之關聯企業及合資損益之份額	預期信用減損（損失）利益	除列按攤銷後成本衡量金融資產淨損益	金融資產重分類淨損益	營業外收入及支出－其他	營業外收入及支出	稅前淨利	所得稅費用	繼續營業單位損益	停業單位損益	合併前非屬共同控制股權損益	其他損益調整項－非常項目及累計影響數	合併總損益	其他綜合損益－OCI	本期綜合損益總額	歸屬母公司淨利（損）	歸屬非控制權益淨利（損）	歸屬共同控制下前手權益淨利（損）	綜合損益歸屬母公司	綜合損益歸屬非控制權益	綜合損益歸屬共同控制下前手權益	每股盈餘	加權平均股數	發放特別股股息	稀釋稅後淨利	每股盈餘－完全稀釋	加權平均股數－稀釋	稅前息前淨利	稅前息前折舊前淨利	常續性稅後淨利	期末普通股－現金股利	期末普通股－股票股利	普通股每股現金股利（盈餘及公積）	  普通股每股現金股利－盈餘	  普通股每股現金股利－公積	普通股每股股票股利－盈餘	普通股每股股票股利－公積	資本公積－現金股利	資本公積轉增資－股票股利	  稅前淨利－CFO	  折舊－CFO	  攤提－CFO	來自營運之現金流量	  新增投資－CFI	  出售投資－CFI	  購置不動產廠房設備（含預付）－CFI	  處分不動產廠房設備（含預付）－CFI	投資活動之現金流量	  現金增（減）資－CFF	  支付現金股利－CFF	籌資活動之現金流量	匯率影響數	本期產生現金流量	期初現金及約當現金	期末現金及約當現金	預計稅額扣抵比率	稅額扣抵比率	BS透過損益按公允價值衡量之金融資產－流動(IFRS)	BS持有至到期日金融資產－非流動	BS透過損益按公允價值衡量之金融負債－流動(IFRS)	BS應付建造合約款	BS以成本衡量之金融負債－非流動	ROA(C)稅前息前折舊前	ROA(A)稅後息前	ROA(B)稅後息前折舊前	ROA－綜合損益	ROE(A)－稅後	稅前息前折舊前淨利率	ROE(B)－常續利益	ROE－綜合損益	營業毛利率	已實現銷貨毛利率	營業利益率	稅前淨利率	稅後淨利率	業外收支/營收	常續利益率－稅後	貝里比率	營業資產報酬率	員工人數	營業費用率	用人費用率	研究發展費用率	呆帳費用率	現金流量比率	有息負債利率	稅率(A)	稅率(B)	每股淨值(B)	每股淨值(A)	每股淨值(C)	每股淨值(F)－TSE公告數	常續性EPS	每股現金流量	每股營業額	每股營業利益	每股稅前淨利	每股綜合損益	季底每股稅前淨利	季底每股稅後淨利	營收成長率	營業毛利成長率	已實現銷貨毛利成長率	營業利益成長率	稅前淨利成長率	稅後淨利成長率	經常淨利成長率	常續淨利成長率	總資產成長率	淨值成長率	折舊性FA成長率	總資產報酬成長率	營收變動率	營業利益變動率	淨利變動率（單季）	稅前盈餘變動率	現金流量允當比	現金再投資比	流動比率	速動比率	利息支出率	利息支出率(B)	總負債/總淨值	負債比率	淨值/資產	長期資金適合率(A)	長短期借款	借款依存度	或有負債/淨值	利息保障倍數	內部保留比率	營運資金	股利支付率	存貨及應收帳款/淨值	應收帳款週轉次數	總資產週轉次數	平均收帳天數	存貨週轉率（次）	平均售貨天數	固定資產週轉次數	淨值週轉率（次）	應付帳款付現天數	淨營業週期（日）	季底收款天數	季底售貨天數	自由現金流量(D)	營運槓桿度	財務槓桿度	每人營收	每人營業利益	每人配備率	季底普通股市值	當季季底P/E	當季季底P/B	當季季底PSR	股利殖利率	現金股利率	Tobins Q	Tobins Q (A)	財報發布日	財報類別（1個別2個體3合併）	財報年月起日	財報年月迄日	市場別	交易所主產業代碼	交易所子產業代碼	TEJ主產業代碼	TEJ子產業代碼	財報附註TEJ是否完成Y/N
1101   	台泥         	201003	1	Y	03	NTD 	    17568054	     2986592	           0	    11268842	       81841	       15008	     6679971	           0	           0	    68129797	           0	     5618259	           0	   128527240	     3396856	           0	       50517	     4776595	   150221548	   218351345	    11434982	           0	           0	     7581468	     2392484	      874380	           0	    17853564	    46716890	           0	     4865000	    57057462	           0	      568274	     6674083	    69476951	   116193841	    32921759	     9127384	     7545055	           0	    10493838	    18038893	    20402363	           0	    80490399	           0	           0	    21667105	   102157504	   218351345	    22023082	    19111593	     2911489	      759155	       28394	           -	     2152334	      170111	      -82739	      513737	        9707	           -	           -	           -	           0	     -416658	     1735676	      278039	     1457637	           0	           0	           0	     1457637	           -	           -	      924955	      532682	           0	           -	           -	           -	        0.28	     3292176	           0	      924955	        0.28	     3292176	     2249413	     4001241	     1432257	           -	           -	           -	           -	           -	           -	           -	           -	           -	     1735676	     1662018	       89810	     4106544	           0	        4758	    -1705409	       24509	   -13840210	           0	    -1945429	    10508301	      367312	     1141947	    16426107	    17568054	       11.19	       11.23	     2986592	           0	           0	           0	           0	        1.88	        0.88	        1.56	           -	        1.43	       18.17	        1.41	           -	       13.22	       13.22	        9.77	        7.88	        6.62	       -1.89	        6.50	      383.52	        7.97	        4714	        3.45	           -	        0.13	           -	        8.79	        0.60	       16.02	       16.02	       24.45	       24.45	       24.45	       24.45	        2.27	        1.25	        5.96	        0.58	        0.53	           -	        0.47	        0.25	       21.87	       65.61	       65.61	      106.31	      248.00	      199.79	      199.79	      194.68	       13.18	        9.88	        1.17	        0.51	           -	           -	           -	           -	           -	           -	      145.84	      100.13	       27.08	        2.30	      113.74	       53.21	       46.79	      127.66	    94443244	       92.45	        0.12	        4.51	           -	    21412907	           -	       17.57	        8.06	        0.42	       45.16	       11.55	       31.52	        0.68	        0.87	       32.19	       44.49	       45.32	       32.77	   -16411559	           -	           -	        4672	         457	       27265	    98600641	        8.23	        1.22	        1.09	        6.01	        6.01	        0.88	        0.88	2010/04/30  	           3	2010/01     	2010/03     	TSE         	M1100       	M1100       	11A         	11A         	Y
1102   	亞泥         	201003	1	Y	03	NTD 	    17683099	     1341622	           0	     8000534	     1066279	           0	     4504296	           0	           0	    37953958	           0	    41675574	           0	    65581287	     3268490	           0	           0	     2339501	   127993027	   165946985	     5356232	      163640	      412919	     6632437	      231995	      278460	           0	    13128529	    27779212	           0	    12000000	    35413789	           0	           0	     1466299	    50745295	    78524507	    29857355	     8241439	     9391500	           0	    14505163	    23896663	    12374845	           0	    74370302	           0	           0	    13052176	    87422478	   165946985	    11420299	    10209598	     1210701	      448607	           -	           -	      762094	      154069	       42835	      314338	     1235997	           -	           -	           -	           0	     1118563	     1880657	      135951	     1744706	           0	           0	           0	     1744706	           -	           -	     1614305	      130401	           0	           -	           -	           -	        0.54	     2985736	           0	     1614305	        0.54	     2995415	     2194995	     3248316	     1613737	           -	           -	           -	           -	           -	           -	           -	           -	           -	     1880657	     1053321	           0	      442692	           0	           0	    -2516001	        7082	    -3072589	           0	           0	     1684328	      790535	     -155034	    17838133	    17683099	       11.69	       11.69	     1341622	           0	      163640	           0	           0	        2.01	        1.25	        1.70	           -	        1.99	       28.44	        1.84	           -	       10.60	       10.60	        6.67	       16.47	       15.28	        9.79	       14.13	      269.88	        6.04	        5081	        3.93	           -	           -	           -	        1.59	        0.73	        7.23	        7.23	       24.91	       24.91	       24.91	       24.91	        2.64	        0.15	        3.71	        0.25	        0.63	           -	        0.61	        0.52	       12.10	      -26.51	      -26.51	      -35.31	       -2.84	        0.74	        0.74	        1.83	        9.39	        7.01	       20.58	        0.12	           -	           -	           -	           -	           -	           -	      136.63	      110.19	       22.19	        4.01	       89.82	       47.32	       52.68	      205.60	    67473550	       77.18	        0.00	        5.87	           -	    10174746	           -	       14.30	        5.76	        0.28	       63.22	        9.26	       39.29	        0.70	        0.52	       57.86	       44.66	       60.69	       38.94	      728480	           -	           -	        2248	         150	       12907	    92557785	       10.35	        1.24	        1.86	        6.77	        5.81	        0.96	        0.96	2010/05/14  	           3	2010/01     	2010/03     	TSE         	M1100       	M1100       	11A         	11A         	Y
1103   	嘉泥         	201003	1	Y	03	NTD 	     3939241	     2114692	           0	      447724	       74639	           0	      907975	           0	           0	    10367318	           0	      675899	           0	    11021248	      549485	           0	           0	      593288	    18250012	    28617330	      372871	           0	       37970	      170212	      476851	       42917	           0	      946500	     2435718	           0	           0	     6263728	           0	       84545	     1632879	     8161615	    10597333	     7178779	      388504	     1737262	      713845	     4310638	     6761745	     2369537	     -836936	    15861629	           0	           0	     2158368	    18019997	    28617330	      920700	      794562	      126138	      139778	           0	           -	      -13640	       19285	      -17424	       30509	        -116	           -	           -	           -	           0	      -28764	      -42404	       41245	      -83649	           0	           0	           0	      -83649	           -	           -	      -93002	        9353	           0	           -	           -	           -	       -0.16	      578575	           0	      -93002	       -0.16	      578575	      -11895	       93917	      -88515	           -	           -	           -	           -	           -	           -	           -	           -	           -	      -42404	       97749	        8063	      216424	           0	           0	      -45392	        3678	     -596460	           0	           0	       23230	      -10563	     -367369	     4306610	     3939241	       22.19	       23.34	     2114692	           0	           0	           0	           0	        0.32	       -0.20	        0.08	           -	       -0.45	       10.20	       -0.48	           -	       13.70	       13.70	       -1.48	       -4.61	       -9.09	       -3.12	       -9.61	       90.24	       -0.94	         736	       15.18	           -	        0.00	           -	        8.89	        0.39	        0.00	           -	       27.41	       27.41	       27.41	       27.42	       -0.15	        0.37	        1.52	       -0.02	       -0.07	           -	       -0.07	       -0.15	      -23.76	       65.24	       65.24	       66.54	       45.32	      -97.67	      -97.67	     -136.01	       -4.85	       -1.16	        0.50	       -0.04	           -	           -	           -	           -	           -	           -	      425.64	      379.89	      -52.31	        3.31	       58.81	       37.03	       62.97	      220.34	     7952902	       44.13	        0.00	       -0.39	           -	     7931600	           -	        7.52	        7.72	        0.13	       47.15	        3.50	      103.95	        0.33	        0.20	       19.01	      132.09	       41.74	       97.15	      359357	           -	           -	        1251	         -19	       14975	    11234775	           -	        0.71	        2.87	        2.56	        1.28	        0.67	        0.67	2010/05/14  	           3	2010/01     	2010/03     	TSE         	M1100       	M1100       	11A         	11A         	Y
1101   	台泥         	201006	2	Y	06	NTD 	    16624092	     2019915	           0	    13587643	      145938	       10740	     7867475	           0	           0	    58415108	           0	     6800735	           0	   140355447	    13818480	           0	       50517	     5079739	   172738469	   231153577	     8996391	       28923	           0	     9443148	     8811782	           0	           0	    20628262	    57452958	           0	     4865000	    58255684	           0	      515419	     7264154	    71351394	   128804352	    32921759	     9186361	     8287508	           0	     5737653	    14025161	    19307177	           0	    75440458	           0	           0	    26908767	   102349225	   231153577	    47971449	    40265869	     7705580	     1761927	       35570	           -	     5943653	      456641	     -105665	     1118621	      178406	           -	           -	           -	           0	     -589239	     5354414	      644980	     4709434	           0	           0	           0	     4709434	           -	           -	     2837139	     1872295	           0	           -	           -	           -	        0.86	     3292176	           0	     2837139	        0.86	     3292176	     6473035	    10091532	     4672805	           -	           -	           -	           -	           -	           -	           -	           -	           -	     5354414	     3337372	      281125	     3646220	    -9060494	           0	    -3187629	       29244	   -12584974	           0	    -3125640	     8912927	      223812	      197985	    16426107	    16624092	       11.19	       11.23	     2019915	           0	       28923	           0	           0	        4.66	        2.61	        3.97	           -	        4.63	       21.04	        4.59	           -	       16.06	       16.06	       12.39	       11.16	        9.82	       -1.23	        9.74	      437.34	        8.29	        6734	        3.67	        4.62	        0.07	           -	        6.35	        1.48	       12.05	       12.05	       22.92	       22.92	       22.92	       22.92	        2.24	        1.11	       12.99	        1.61	        1.63	           -	        1.45	        0.77	       20.78	       41.77	       41.77	       45.41	       50.20	       33.07	       33.07	       30.38	       19.21	       10.07	       12.50	        0.77	           -	           -	           -	           -	           -	           -	      101.67	       76.27	       22.80	        2.70	      125.85	       55.72	       44.28	      118.01	    94828335	       92.65	        0.12	        5.55	           -	      962150	           -	       20.96	        7.94	        0.44	       45.87	       11.17	       32.60	        0.71	        0.94	       34.77	       43.70	       52.17	       37.14	     7675444	           -	           -	        7124	         883	       20843	    89876378	        7.41	        1.19	        0.95	        6.59	        6.59	        0.80	        0.80	2010/08/27  	           3	2010/01     	2010/06     	TSE         	M1100       	M1100       	11A         	11A         	Y
1102   	亞泥         	201006	2	Y	06	NTD 	    15955407	     1834406	           0	     8504118	     5265367	           0	     5031881	           0	           0	    42445233	           0	    39620269	           0	    66877312	     3879176	           0	           0	     2415059	   127093020	   169538253	     6193566	       38341	      430829	     7346810	     5609456	      229394	           0	    12956591	    34768987	           0	    12000000	    36505139	           0	           0	     1471777	    51506677	    86275664	    30753075	     8253707	    10177610	           0	     9591344	    19768954	    11507652	           0	    70283388	           0	           0	    12979201	    83262589	   169538253	    24427378	    21831160	     2596218	      969310	           -	           -	     1626908	      532438	     -565451	      634926	     3070236	           -	           -	           -	           0	     2402297	     4029205	      206863	     3822342	           0	           0	           0	     3822342	           -	           -	     3725781	       96561	           0	           -	           -	           -	        1.25	     2985736	           0	     3725781	        1.24	     2994186	     4664131	     6715651	     4298666	           -	           -	           -	           -	           -	           -	           -	           -	           -	     4029205	     1827722	      223798	      574652	           0	           0	    -5360545	       30978	    -6832140	           0	           0	     3259301	     1115461	    -1882726	    17838133	    15955407	       11.69	       11.69	     1172161	           0	       38341	           0	           0	        4.14	        2.70	        4.01	           -	        4.46	       27.49	        5.02	           -	       10.63	       10.63	        6.66	       16.49	       15.65	        9.83	       17.60	      267.84	        4.53	        5440	        3.97	        5.21	           -	           -	        1.65	        1.54	        5.13	        5.13	       22.85	       22.85	       23.54	       23.54	        2.49	        0.19	        7.94	        0.53	        1.35	           -	        1.31	        1.21	        6.33	      -41.07	      -41.07	      -50.84	      -25.45	      -24.04	      -24.04	      -11.61	        7.93	       -0.08	       23.03	       -0.48	           -	           -	           -	           -	           -	           -	      122.08	       97.64	       22.33	        4.12	      103.62	       50.89	       49.11	      197.03	    69619296	       83.61	        0.00	        5.91	           -	     7676246	           -	       16.26	        5.97	        0.29	       60.99	        9.35	       38.95	        0.75	        0.57	       57.09	       42.85	       62.20	       42.02	     3458271	           -	           -	        4490	         299	       12294	    84794874	       10.15	        1.21	        1.70	        7.39	        6.34	        0.91	        0.91	2010/08/27  	           3	2010/01     	2010/06     	TSE         	M1100       	M1100       	11A         	11A         	Y
1103   	嘉泥         	201006	2	Y	06	NTD 	     3091105	     2235672	           0	      450301	      106328	           0	      881229	           0	           0	     9687795	           0	      673610	           0	    10984315	      551057	           0	           0	      584012	    17713665	    27401460	      346722	           0	      177482	      318825	      477312	       31184	           0	      796422	     2839413	         879	           0	     6678924	           0	       94570	     1564920	     8528295	    11367708	     7322354	      413547	     1778624	      335222	     4287286	     6401132	      648926	     -836936	    13949023	           0	           0	     2084729	    16033752	    27401460	     2012498	     1827003	      185495	      266819	           0	           -	      -81324	      107688	     -154952	       60678	        -572	           -	           -	           -	           0	     -108514	     -189838	      -25410	     -164428	           0	           0	           0	     -164428	           -	           -	     -166464	        2036	           0	           -	           -	           -	       -0.28	      590146	           0	     -166464	       -0.28	      590146	     -129160	       79797	      -65456	           -	           -	           -	           -	           -	           -	           -	           -	           -	     -189838	      192448	       16509	       51990	           0	           0	      -97646	        7081	    -1820168	           0	       -6601	      559385	       -6712	    -1215505	     4306610	     3091105	       22.19	       23.34	     2235672	           0	           0	           0	           0	        0.28	       -0.40	        0.55	           -	       -0.94	        3.97	       -0.37	           -	        9.22	        9.22	       -4.04	       -9.43	       -8.17	       -5.39	       -3.25	       69.52	       -1.73	         733	       13.26	       10.68	        0.00	           -	        1.83	        0.76	        0.00	           -	       23.53	       23.53	       24.11	       24.11	       -0.06	        0.09	        3.31	       -0.13	       -0.32	           -	       -0.31	       -0.27	      -19.92	      -31.78	      -31.78	     -509.88	     -210.31	     -180.16	     -180.16	      -47.02	       -8.02	      -14.37	        2.39	       -1.03	           -	           -	           -	           -	           -	           -	      341.19	      295.78	      -53.51	        3.03	       70.90	       41.49	       58.51	      206.77	     8491714	       52.96	        0.00	       -2.12	           -	     6848382	           -	        8.30	        8.42	        0.14	       43.25	        4.09	       89.08	        0.36	        0.23	       23.94	      108.40	       44.40	       96.54	     1412687	           -	           -	        2746	        -111	       14985	     9978490	           -	        0.72	        2.70	        2.88	        1.44	        0.67	        0.67	2010/08/26  	           3	2010/01     	2010/06     	TSE         	M1100       	M1100       	11A         	11A         	Y
1101   	台泥         	201009	3	Y	09	NTD 	    12836138	     2547369	           0	    14332045	       32176	        6689	     7957196	           0	           0	    59846089	           0	     6836792	           0	   139393786	    13559314	           0	       50517	     5406075	   171787968	   231634057	     7685856	        4947	           0	     8279490	     2913321	      799654	           0	    20017124	    47121934	           0	     3500000	    63268126	           0	      512969	     7235486	    74925818	   122047752	    32921759	     9122747	     8287508	           0	     8296469	    16583977	    22962075	           0	    81590558	           0	           0	    27995747	   109586305	   231634057	    76366989	    63538384	    12828605	     2708884	       55539	           -	    10119721	      978419	       35194	     1902310	      448593	           -	           -	           -	           0	     -440104	     9679617	      944399	     8735218	           0	           0	           0	     8735218	           -	           -	     5395955	     3339263	           0	           -	           -	           -	        1.64	     3292176	           0	     5395955	        1.64	     3292176	    11581927	    17274733	     8603407	           -	           -	           -	           -	           -	           -	           -	           -	           -	     9679617	     5233360	      459446	     7789424	   -11423301	        4758	    -6135274	       29244	   -16794652	           0	    -9051556	     6144116	     -728857	    -3589969	    16426107	    12836138	       11.19	       11.23	     2547369	           0	        4947	           0	           0	        7.90	        4.71	        6.82	           -	        8.29	       22.62	        8.17	           -	       16.80	       16.80	       13.25	       12.68	       11.44	       -0.58	       11.27	      473.58	        8.50	        7079	        3.55	           -	        0.07	           -	       16.53	        2.10	        9.76	        9.76	       24.78	       24.78	       24.78	       24.78	        2.34	        2.37	       20.68	        2.74	        2.94	           -	        2.62	        1.46	       23.31	       28.42	       28.42	       27.50	       28.44	       15.91	       15.91	       22.95	       17.24	       12.52	       12.83	        1.04	           -	           -	           -	           -	           -	           -	      127.00	       96.56	       18.91	        2.55	      111.37	       52.69	       47.31	      126.63	    96727353	       88.27	        0.27	        6.18	           -	    12724155	           -	       20.34	        8.17	        0.47	       44.55	       11.67	       31.18	        0.76	        0.97	       30.55	       45.18	       51.67	       35.03	     -934113	           -	           -	       10788	        1430	       19691	   109958645	        8.70	        1.35	        1.09	        5.39	        5.39	        0.89	        0.89	2010/11/05  	           3	2010/01     	2010/09     	TSE         	M1100       	M1100       	11A         	11A         	Y
1102   	亞泥         	201009	3	Y	09	NTD 	     5830557	     1270308	           0	    10049066	     1527374	           0	     5440743	           0	           0	    29744987	           0	    42209516	           0	    69079374	     4654550	           0	           0	     2534731	   135761502	   165506489	     7365308	      247457	      626634	     8092071	      225869	      190827	           0	     3613644	    21836810	           0	    14176323	    37780597	           0	           0	     1466299	    55087550	    76924360	    30753075	     8256390	    10177610	           0	    11099908	    21277518	    15278558	           0	    75565541	           0	           0	    13016588	    88582129	   165506489	    37041830	    33510712	     3531118	     1345131	           -	           -	     2185987	      947775	    -1169039	     1056662	     4730108	           -	           -	           -	           0	     3452182	     5638169	      262509	     5375660	           0	           0	           0	     5375660	           -	           -	     5234328	      141332	           0	           -	           -	           -	        1.70	     3075308	           0	     5234328	        1.70	     3084071	     6694831	     9627682	     5959572	           -	           -	           -	           -	           -	           -	           -	           -	           -	     5638169	     2932851	           0	     3567466	           0	           0	    -7900197	       46170	    -8068001	           0	    -5374324	    -7377503	     -129538	   -12007576	    17838133	     5830557	       11.69	       11.69	     1270308	           0	      247457	           0	           0	        5.97	        3.90	        5.73	           -	        6.09	       25.99	        6.75	           -	        9.53	        9.53	        5.90	       15.22	       14.51	        9.32	       16.09	      262.51	        3.78	        5440	        3.63	           -	           -	           -	       16.34	        2.18	        4.66	        4.66	       24.57	       24.57	       24.57	       24.57	        2.35	        1.16	       12.04	        0.71	        1.83	           -	        1.83	        1.70	        4.03	      -49.96	      -49.96	      -55.14	      -29.51	      -27.83	      -27.83	      -17.90	        7.99	        4.91	       22.40	       -0.96	           -	           -	           -	           -	           -	           -	      136.21	       97.79	       22.64	        3.92	       86.84	       46.48	       53.52	      203.45	    64410872	       72.71	        0.00	        5.49	           -	     7908177	           -	       17.49	        5.51	        0.30	       66.02	        9.16	       39.73	        0.74	        0.56	       58.83	       46.92	       73.71	       43.77	     3121337	           -	           -	        6809	         402	       12698	    97948528	       12.86	        1.30	        1.97	        6.40	        5.49	        0.98	        0.98	2010/11/11  	           3	2010/01     	2010/09     	TSE         	M1100       	M1100       	11A         	11A         	Y
1103   	嘉泥         	201009	3	Y	09	NTD 	     3322463	     3009199	           0	      461021	       75594	           0	      928626	           0	           0	    11162181	           0	      672626	           0	    11543666	      537224	          92	           0	      584771	    19296475	    30458656	      935241	           0	      250086	      301052	      321852	       39924	           0	      404444	     2834443	        1716	           0	     7808317	           0	      101807	     1534407	     9633080	    12467523	     7322354	      455445	     1778624	      335222	     4634048	     6747894	     2099660	     -824930	    15800423	           0	           0	     2190710	    17991133	    30458656	     3219582	     2937017	      282565	      365246	           0	           -	      -82681	      327316	       62296	       94892	        -183	           -	           -	           -	           0	      294537	      211856	       -4636	      216492	           0	           0	           0	      216492	           -	           -	      180298	       36194	           0	           -	           -	           -	        0.31	      590576	           0	      180298	        0.30	      591204	      306748	      616127	       70623	           -	           -	           -	           -	           -	           -	           -	           -	           -	      211856	      287860	       21519	     -102027	           0	           0	     -824374	       19036	    -2536452	           0	     -125140	     1678861	      -24529	     -984147	     4306610	     3322463	       22.19	       23.34	     3009199	           0	           0	           0	           0	        2.04	        0.98	        1.34	           -	        1.17	       19.14	        0.38	           -	        8.78	        8.78	       -2.57	        6.58	        6.72	        9.15	        2.19	       77.36	       -1.43	         727	       11.34	           -	        0.00	           -	       -3.60	        1.12	        0.00	       -2.19	       26.68	       26.68	       26.68	       26.68	        0.07	       -0.17	        5.30	       -0.14	        0.36	           -	        0.35	        0.30	       -7.77	      -21.88	      -21.88	     -248.79	      -43.82	      -48.58	      -48.58	      431.97	        0.58	       -5.44	        4.61	       -0.34	           -	           -	           -	           -	           -	           -	      393.81	      348.40	       32.22	        2.96	       69.30	       40.93	       59.07	      223.49	     9693619	       53.88	        0.00	        3.23	           -	     8327738	           -	        7.72	        8.88	        0.14	       41.01	        4.27	       85.33	        0.38	        0.23	       21.51	      104.83	       42.80	       95.41	     -312055	           -	           -	        4429	        -114	       15878	    11093360	      192.24	        0.70	        2.82	        2.59	        1.29	        0.68	        0.68	2010/11/12  	           3	2010/01     	2010/09     	TSE         	M1100       	M1100       	11A         	11A         	Y
1101   	台泥         	201012	4	Y	12	NTD 	    32706814	     4636964	           0	    15918356	       30153	        3072	     7296613	           0	           0	    82001294	           0	     6917338	           0	   139708763	    12575826	           0	       50517	    14282454	   179959494	   261960788	    13170917	           0	           0	     9650878	     3316673	     1180755	           0	    26452465	    60121542	           0	     3500000	    65928232	           0	      489258	     6966784	    77325468	   137447010	    36921759	    15956106	     8287508	           0	    10931835	    19219343	    22823863	           0	    94921071	           0	           0	    29592707	   124513778	   261960788	   106207291	    86710957	    19496334	     3842022	       54457	           -	    15654312	      973048	     -137076	     2396026	      856758	           -	           -	           -	           0	     -703296	    14951016	     1555291	    13395725	           0	           0	           0	    13395725	           -	           -	     8031321	     5364404	           0	           -	           -	           -	        2.43	     3304231	           0	     8031321	        2.43	     3304231	    17347042	    25003173	    13356387	     7384352	           0	        2.00	        2.00	        0.00	        0.00	        0.00	           0	           0	    14951016	     7064710	      591421	    13814754	   -11490872	        5101	   -11505528	      193106	   -31720686	    10800000	    -9532456	    33815919	      370720	    16280707	    16426107	    32706814	       11.19	       11.23	     4636964	           0	           0	           0	           0	       10.71	        6.59	        9.30	           -	       11.87	       23.54	       11.84	           -	       18.36	       18.36	       14.74	       14.08	       12.61	       -0.66	       12.58	      507.45	        8.50	        7129	        3.62	        4.39	        0.05	           -	       22.98	        2.49	       10.40	       10.40	       25.71	       25.71	       25.71	       25.71	        2.16	        4.18	       28.77	        4.24	        4.52	           -	        4.05	        2.18	       22.35	       25.50	       25.50	       25.47	       22.76	       14.48	       14.48	       20.98	       27.95	       23.14	       11.08	        1.59	           -	           -	           -	           -	       66.10	        1.60	      136.39	      115.08	       15.57	        2.33	      110.39	       52.47	       47.53	      138.92	   111241083	       89.34	        0.07	        7.24	        8.06	    21879752	       91.94	       18.64	        8.01	        0.46	       45.55	       12.52	       29.16	        0.79	        0.94	       32.81	       41.90	       54.71	       30.72	    -8836132	        1.73	        1.17	       14898	        2196	       19597	   121103340	        9.07	        1.28	        1.14	        6.10	        6.10	        0.89	        0.89	2011/04/29  	           3	2010/01     	2010/12     	TSE         	M1100       	M1100       	11A         	11A         	Y
