證券代碼,簡稱,年月日,收盤價(元)
0050   ,元大台灣50   ,20080102,    39.6472
0052   ,富邦科技     ,20080102,    27.0983
0056   ,元大高股息   ,20080102,    14.5739
0050   ,元大台灣50   ,20080103,    38.9876
0052   ,富邦科技     ,20080103,    26.0676
0056   ,元大高股息   ,20080103,    14.3758
0050   ,元大台灣50   ,20080104,    38.9876
0052   ,富邦科技     ,20080104,    25.9346
0056   ,元大高股息   ,20080104,    14.4041
0050   ,元大台灣50   ,20080107,    37.2064
0052   ,富邦科技     ,20080107,    24.1391
0056   ,元大高股息   ,20080107,    14.1777
0050   ,元大台灣50   ,20080108,    37.5692
0052   ,富邦科技     ,20080108,    24.1391
0056   ,元大高股息   ,20080108,    14.3531
0050   ,元大台灣50   ,20080109,    38.2619
0052   ,富邦科技     ,20080109,    24.2721
0056   ,元大高股息   ,20080109,    14.4663
0050   ,元大台灣50   ,20080110,    38.1959
0052   ,富邦科技     ,20080110,    24.2721
0056   ,元大高股息   ,20080110,    14.5739
0050   ,元大台灣50   ,20080111,    38.0310
0052   ,富邦科技     ,20080111,    24.3319
0056   ,元大高股息   ,20080111,    14.6022
0050   ,元大台灣50   ,20080114,    38.7897
0052   ,富邦科技     ,20080114,    24.2721
0056   ,元大高股息   ,20080114,    14.6588
0050   ,元大台灣50   ,20080115,    40.2740
0052   ,富邦科技     ,20080115,    24.5381
0056   ,元大高股息   ,20080115,    14.8399
0050   ,元大台灣50   ,20080116,    38.5258
0052   ,富邦科技     ,20080116,    24.1258
0056   ,元大高股息   ,20080116,    14.5739
0050   ,元大台灣50   ,20080117,    38.3609
0052   ,富邦科技     ,20080117,    23.9396
0056   ,元大高股息   ,20080117,    14.1720
0050   ,元大台灣50   ,20080118,    38.5917
0052   ,富邦科技     ,20080118,    23.8598
0056   ,元大高股息   ,20080118,    14.1777
0050   ,元大台灣50   ,20080121,    38.0640
0052   ,富邦科技     ,20080121,    24.0726
0056   ,元大高股息   ,20080121,    14.0871
0050   ,元大台灣50   ,20080122,    35.4252
0052   ,富邦科技     ,20080122,    22.3902
0056   ,元大高股息   ,20080122,    13.3004
0050   ,元大台灣50   ,20080123,    35.3593
0052   ,富邦科技     ,20080123,    21.9446
0056   ,元大高股息   ,20080123,    13.0231
0050   ,元大台灣50   ,20080124,    36.2828
0052   ,富邦科技     ,20080124,    22.4766
0056   ,元大高股息   ,20080124,    13.2495
0050   ,元大台灣50   ,20080125,    37.2064
0052   ,富邦科技     ,20080125,    23.6071
0056   ,元大高股息   ,20080125,    13.4702
0050   ,元大台灣50   ,20080128,    36.0190
0052   ,富邦科技     ,20080128,    22.6761
0056   ,元大高股息   ,20080128,    12.9608
0050   ,元大台灣50   ,20080129,    36.3488
0052   ,富邦科技     ,20080129,    22.7493
0056   ,元大高股息   ,20080129,    12.8646
0050   ,元大台灣50   ,20080130,    36.2499
0052   ,富邦科技     ,20080130,    23.2746
0056   ,元大高股息   ,20080130,    12.8703
0050   ,元大台灣50   ,20080131,    36.2499
0052   ,富邦科技     ,20080131,    23.2680
0056   ,元大高股息   ,20080131,    12.8646
0050   ,元大台灣50   ,20080201,    37.2064
0052   ,富邦科技     ,20080201,    23.4475
0056   ,元大高股息   ,20080201,    13.0457
0050   ,元大台灣50   ,20080212,    36.2499
0052   ,富邦科技     ,20080212,    22.7094
0056   ,元大高股息   ,20080212,    12.9721
0050   ,元大台灣50   ,20080213,    36.1509
0052   ,富邦科技     ,20080213,    22.7493
0056   ,元大高股息   ,20080213,    12.9042
0050   ,元大台灣50   ,20080214,    38.1300
0052   ,富邦科技     ,20080214,    23.6736
0056   ,元大高股息   ,20080214,    13.3004
0050   ,元大台灣50   ,20080215,    37.8001
0052   ,富邦科技     ,20080215,    23.9396
0056   ,元大高股息   ,20080215,    13.3004
0050   ,元大台灣50   ,20080218,    37.7342
0052   ,富邦科技     ,20080218,    23.9396
0056   ,元大高股息   ,20080218,    13.3910
0050   ,元大台灣50   ,20080219,    38.2619
0052   ,富邦科技     ,20080219,    24.1059
0056   ,元大高股息   ,20080219,    13.5438
0050   ,元大台灣50   ,20080220,    37.5362
0052   ,富邦科技     ,20080220,    24.0394
0056   ,元大高股息   ,20080220,    13.3966
0050   ,元大台灣50   ,20080221,    38.6247
0052   ,富邦科技     ,20080221,    24.4649
0056   ,元大高股息   ,20080221,    13.4645
0050   ,元大台灣50   ,20080222,    38.7897
0052   ,富邦科技     ,20080222,    24.4051
0056   ,元大高股息   ,20080222,    13.4702
0050   ,元大台灣50   ,20080225,    39.5813
0052   ,富邦科技     ,20080225,    24.6046
0056   ,元大高股息   ,20080225,    13.7249
0050   ,元大台灣50   ,20080226,    39.7132
0052   ,富邦科技     ,20080226,    24.9903
0056   ,元大高股息   ,20080226,    13.8664
0050   ,元大台灣50   ,20080227,    40.0431
0052   ,富邦科技     ,20080227,    25.6353
0056   ,元大高股息   ,20080227,    13.8947
0050   ,元大台灣50   ,20080229,    40.1420
0052   ,富邦科技     ,20080229,    25.5356
0056   ,元大高股息   ,20080229,    14.0079
0050   ,元大台灣50   ,20080303,    39.0205
0052   ,富邦科技     ,20080303,    24.6046
0056   ,元大高股息   ,20080303,    13.9456
0050   ,元大台灣50   ,20080304,    40.0431
0052   ,富邦科技     ,20080304,    25.1033
0056   ,元大高股息   ,20080304,    14.1267
0050   ,元大台灣50   ,20080305,    40.1750
0052   ,富邦科技     ,20080305,    24.9903
0056   ,元大高股息   ,20080305,    14.1494
0050   ,元大台灣50   ,20080306,    41.0986
0052   ,富邦科技     ,20080306,    25.9279
0056   ,元大高股息   ,20080306,    14.4324
0050   ,元大台灣50   ,20080307,    40.5048
0052   ,富邦科技     ,20080307,    25.8016
0056   ,元大高股息   ,20080307,    14.3192
0050   ,元大台灣50   ,20080310,    39.3174
0052   ,富邦科技     ,20080310,    25.2696
0056   ,元大高股息   ,20080310,    14.1324
0050   ,元大台灣50   ,20080311,    39.6472
0052   ,富邦科技     ,20080311,    25.0701
0056   ,元大高股息   ,20080311,    14.1211
0050   ,元大台灣50   ,20080312,    40.0101
0052   ,富邦科技     ,20080312,    25.5023
0056   ,元大高股息   ,20080312,    14.2116
0050   ,元大台灣50   ,20080313,    38.9876
0052   ,富邦科技     ,20080313,    24.9371
0056   ,元大高股息   ,20080313,    14.0815
0050   ,元大台灣50   ,20080314,    38.5588
0052   ,富邦科技     ,20080314,    25.0036
0056   ,元大高股息   ,20080314,    13.9400
0050   ,元大台灣50   ,20080317,    37.8331
0052   ,富邦科技     ,20080317,    24.2721
0056   ,元大高股息   ,20080317,    13.6966
0050   ,元大台灣50   ,20080318,    38.1959
0052   ,富邦科技     ,20080318,    24.0061
0056   ,元大高股息   ,20080318,    13.7249
0050   ,元大台灣50   ,20080319,    38.5917
0052   ,富邦科技     ,20080319,    24.6046
0056   ,元大高股息   ,20080319,    13.7532
0050   ,元大台灣50   ,20080320,    39.5483
0052   ,富邦科技     ,20080320,    24.6046
0056   ,元大高股息   ,20080320,    13.9230
0050   ,元大台灣50   ,20080321,    40.6038
0052   ,富邦科技     ,20080321,    25.0767
0056   ,元大高股息   ,20080321,    14.1437
0050   ,元大台灣50   ,20080324,    42.3190
0052   ,富邦科技     ,20080324,    25.8149
0056   ,元大高股息   ,20080324,    14.5965
0050   ,元大台灣50   ,20080325,    41.5933
0052   ,富邦科技     ,20080325,    25.6087
0056   ,元大高股息   ,20080325,    14.5512
0050   ,元大台灣50   ,20080326,    41.1645
0052   ,富邦科技     ,20080326,    25.6353
0056   ,元大高股息   ,20080326,    14.5456
0050   ,元大台灣50   ,20080327,    40.3729
0052   ,富邦科技     ,20080327,    24.9437
0056   ,元大高股息   ,20080327,    14.2965
0050   ,元大台灣50   ,20080328,    40.9007
0052   ,富邦科技     ,20080328,    25.2696
0056   ,元大高股息   ,20080328,    14.5625
0050   ,元大台灣50   ,20080331,    39.8781
0052   ,富邦科技     ,20080331,    25.1366
0056   ,元大高股息   ,20080331,    14.4324
0050   ,元大台灣50   ,20080401,    39.6143
0052   ,富邦科技     ,20080401,    24.9903
0056   ,元大高股息   ,20080401,    14.4041
0050   ,元大台灣50   ,20080402,    40.7357
0052   ,富邦科技     ,20080402,    25.1698
0056   ,元大高股息   ,20080402,    14.4663
0050   ,元大台灣50   ,20080403,    40.3729
0052   ,富邦科技     ,20080403,    25.6154
0056   ,元大高股息   ,20080403,    14.4324
0050   ,元大台灣50   ,20080407,    41.0326
0052   ,富邦科技     ,20080407,    25.8681
0056   ,元大高股息   ,20080407,    14.5059
0050   ,元大台灣50   ,20080408,    40.6368
0052   ,富邦科技     ,20080408,    25.7351
0056   ,元大高股息   ,20080408,    14.4890
0050   ,元大台灣50   ,20080409,    40.6368
0052   ,富邦科技     ,20080409,    25.6021
0056   ,元大高股息   ,20080409,    14.4607
0050   ,元大台灣50   ,20080410,    41.2965
0052   ,富邦科技     ,20080410,    26.1008
0056   ,元大高股息   ,20080410,    14.5739
0050   ,元大台灣50   ,20080411,    41.8902
0052   ,富邦科技     ,20080411,    26.5996
0056   ,元大高股息   ,20080411,    14.7040
0050   ,元大台灣50   ,20080414,    41.6923
0052   ,富邦科技     ,20080414,    26.0676
0056   ,元大高股息   ,20080414,    14.8059
0050   ,元大台灣50   ,20080415,    41.6593
0052   ,富邦科技     ,20080415,    26.0809
0056   ,元大高股息   ,20080415,    14.8568
0050   ,元大台灣50   ,20080416,    42.3520
0052   ,富邦科技     ,20080416,    26.5331
0056   ,元大高股息   ,20080416,    15.1342
0050   ,元大台灣50   ,20080417,    42.6488
0052   ,富邦科技     ,20080417,    26.8988
0056   ,元大高股息   ,20080417,    15.1794
0050   ,元大台灣50   ,20080418,    42.4839
0052   ,富邦科技     ,20080418,    26.6993
0056   ,元大高股息   ,20080418,    15.0832
0050   ,元大台灣50   ,20080421,    42.6158
0052   ,富邦科技     ,20080421,    27.1316
0056   ,元大高股息   ,20080421,    15.0549
0050   ,元大台灣50   ,20080422,    42.4839
0052   ,富邦科技     ,20080422,    26.8789
0056   ,元大高股息   ,20080422,    15.1115
0050   ,元大台灣50   ,20080423,    42.0551
0052   ,富邦科技     ,20080423,    26.8656
0056   ,元大高股息   ,20080423,    15.0549
0050   ,元大台灣50   ,20080424,    41.8572
0052   ,富邦科技     ,20080424,    26.4998
0056   ,元大高股息   ,20080424,    15.0549
0050   ,元大台灣50   ,20080425,    41.8902
0052   ,富邦科技     ,20080425,    26.5996
0056   ,元大高股息   ,20080425,    15.0832
0050   ,元大台灣50   ,20080428,    42.3190
0052   ,富邦科技     ,20080428,    26.8323
0056   ,元大高股息   ,20080428,    15.1398
0050   ,元大台灣50   ,20080429,    41.8902
0052   ,富邦科技     ,20080429,    26.5996
0056   ,元大高股息   ,20080429,    14.9983
0050   ,元大台灣50   ,20080430,    42.1541
0052   ,富邦科技     ,20080430,    26.7326
0056   ,元大高股息   ,20080430,    14.8851
0050   ,元大台灣50   ,20080502,    42.3520
0052   ,富邦科技     ,20080502,    26.7991
0056   ,元大高股息   ,20080502,    15.0719
0050   ,元大台灣50   ,20080505,    41.5274
0052   ,富邦科技     ,20080505,    26.4333
